Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,Region,State,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount,Sales,Profit
ORD-10127,2023-04-23,2023-04-28,Standard Class,CUST-4824,Consumer,East,Pennsylvania,Technology,Electronics,Smart Speaker,575.54,1,0.25,431.65,49.62
ORD-10130,2021-11-03,2021-11-07,First Class,CUST-8679,Corporate,South,North Carolina,Furniture,Storage,Filing Cabinet,272.18,2,0.1,489.92,53.93
ORD-10135,2022-04-24,2022-04-29,Standard Class,CUST-5415,Consumer,South,Louisiana,Furniture,Desks,Foldable Desk,428.92,2,0.0,857.84,171.51
ORD-10138,2023-07-14,2023-07-19,Standard Class,CUST-3634,Home Office,East,New Jersey,Furniture,Storage,Storage Box,185.7,1,0.15,157.84,21.98
ORD-10140,2021-11-11,2021-11-18,Standard Class,CUST-1888,Consumer,West,Idaho,Technology,Phones,Phone Case,995.16,1,0.3,696.61,114.82
ORD-10145,2024-07-15,2024-07-20,Standard Class,CUST-6091,Consumer,West,Idaho,Furniture,Office Chairs,Executive Chair,879.86,2,0.05,1671.73,255.03
ORD-10149,2024-04-16,2024-04-21,Second Class,CUST-3369,Home Office,East,Maryland,Technology,Electronics,Headphones,550.29,3,0.25,1238.15,172.25
ORD-10154,2024-07-11,2024-07-14,Second Class,CUST-8316,Consumer,East,Michigan,Office Supplies,Stationery,Binder,13.47,1,0.25,10.1,2.85
ORD-10158,2022-06-23,2022-06-29,Standard Class,CUST-3492,Consumer,West,Colorado,Furniture,Storage,Storage Box,53.53,3,0.2,128.47,12.48
ORD-10161,2023-07-04,2023-07-08,First Class,CUST-5342,Home Office,Central,Missouri,Furniture,Storage,Drawer Unit,84.69,4,0.0,338.76,20.74
ORD-10165,2023-08-25,2023-09-01,Standard Class,CUST-2480,Consumer,South,Alabama,Furniture,Desks,L-Shaped Desk,268.42,2,0.1,483.16,91.62
ORD-10170,2022-06-10,2022-06-15,Standard Class,CUST-2293,Home Office,Central,Minnesota,Furniture,Storage,Drawer Unit,204.66,2,0.0,409.32,30.9
ORD-10175,2023-12-09,2023-12-13,Second Class,CUST-6661,Consumer,Central,Wisconsin,Furniture,Storage,Filing Cabinet,319.37,2,0.0,638.74,39.01
ORD-10178,2022-08-04,2022-08-11,Standard Class,CUST-7484,Consumer,East,Maryland,Office Supplies,Paper,Labels Sheet,21.27,2,0.0,42.54,14.7
ORD-10181,2024-03-20,2024-03-22,First Class,CUST-1645,Home Office,East,New York,Office Supplies,Binders,Presentation Folder,23.25,2,0.0,46.5,12.82
ORD-10184,2021-02-14,2021-02-21,Standard Class,CUST-3695,Consumer,South,Texas,Furniture,Storage,Filing Cabinet,311.7,1,0.3,218.19,34.69
ORD-10185,2024-04-05,2024-04-12,Standard Class,CUST-7464,Corporate,Central,Iowa,Office Supplies,Paper,Labels Sheet,44.83,5,0.3,156.9,29.76
ORD-10188,2023-07-04,2023-07-08,First Class,CUST-8606,Corporate,East,Pennsylvania,Furniture,Storage,Drawer Unit,314.11,2,0.05,596.81,85.62
ORD-10192,2021-07-18,2021-07-25,Standard Class,CUST-3531,Home Office,South,Florida,Technology,Electronics,USB-C Hub,1712.93,2,0.3,2398.1,381.3
ORD-10194,2024-02-08,2024-02-15,Standard Class,CUST-5520,Corporate,South,South Carolina,Furniture,Desks,Standing Desk,567.33,4,0.15,1928.92,105.42
ORD-10197,2024-11-08,2024-11-13,Standard Class,CUST-4817,Home Office,Central,Iowa,Technology,Electronics,SSD Drive,198.01,3,0.05,564.33,117.65
ORD-10198,2024-02-22,2024-02-26,Second Class,CUST-5347,Corporate,South,Texas,Technology,Electronics,Monitor,1438.77,1,0.15,1222.95,138.6
ORD-10199,2021-07-19,2021-07-24,Second Class,CUST-1510,Consumer,East,Maryland,Furniture,Storage,Bookshelf,53.44,3,0.3,112.22,9.09
ORD-10202,2023-01-11,2023-01-17,Standard Class,CUST-9692,Corporate,Central,Arkansas,Furniture,Office Chairs,Stool,618.24,2,0.15,1051.01,104.16
ORD-10205,2024-06-24,2024-06-27,Second Class,CUST-2557,Home Office,West,Utah,Technology,Accessories,Charging Pad,55.52,3,0.2,133.25,22.37
ORD-10209,2021-10-14,2021-10-16,First Class,CUST-3002,Consumer,West,Arizona,Furniture,Office Chairs,Stool,567.28,2,0.3,794.19,90.63
ORD-10210,2023-03-04,2023-03-09,Second Class,CUST-7022,Home Office,West,Utah,Office Supplies,Binders,Ring Binder,18.95,3,0.15,48.32,14.26
ORD-10211,2024-11-20,2024-11-24,Second Class,CUST-6751,Corporate,South,North Carolina,Office Supplies,Binders,Clear Sleeve,4.9,1,0.1,4.41,1.4
ORD-10212,2024-03-03,2024-03-07,Second Class,CUST-2391,Consumer,East,New Jersey,Furniture,Desks,Standing Desk,653.65,1,0.1,588.28,88.43
ORD-10213,2022-10-14,2022-10-19,Standard Class,CUST-6053,Corporate,East,New York,Office Supplies,Paper,Envelope Pack,23.98,1,0.25,17.98,4.02
ORD-10214,2021-07-11,2021-07-15,Second Class,CUST-6802,Corporate,East,New York,Technology,Phones,Smartphone Lite,235.56,1,0.05,223.78,43.65
ORD-10217,2024-06-13,2024-06-18,Standard Class,CUST-8538,Home Office,West,California,Furniture,Desks,Standing Desk,605.03,5,0.0,3025.15,514.88
ORD-10220,2022-05-24,2022-05-29,Standard Class,CUST-6724,Corporate,East,Pennsylvania,Technology,Accessories,Laptop Stand,18.4,2,0.3,25.76,4.41
ORD-10223,2021-11-03,2021-11-07,Second Class,CUST-6295,Consumer,South,Georgia,Technology,Electronics,USB-C Hub,878.0,2,0.25,1317.0,263.87
ORD-10228,2021-07-17,2021-07-22,Standard Class,CUST-2479,Corporate,East,Pennsylvania,Furniture,Storage,Drawer Unit,57.64,3,0.0,172.92,25.37
ORD-10233,2022-07-07,2022-07-09,First Class,CUST-2381,Consumer,South,Alabama,Furniture,Storage,Bookshelf,336.89,2,0.15,572.71,104.55
ORD-10238,2024-06-12,2024-06-16,Second Class,CUST-2548,Corporate,South,Texas,Technology,Phones,Bluetooth Earbuds,824.31,1,0.15,700.66,84.61
ORD-10241,2021-05-22,2021-05-29,Standard Class,CUST-7171,Home Office,South,Louisiana,Technology,Accessories,Cable Organizer,86.83,1,0.0,86.83,14.72
ORD-10246,2022-10-07,2022-10-12,Standard Class,CUST-2657,Consumer,Central,Minnesota,Furniture,Desks,L-Shaped Desk,426.54,1,0.0,426.54,40.25
ORD-10250,2023-09-27,2023-10-02,Standard Class,CUST-4891,Corporate,South,Texas,Office Supplies,Binders,Lever Arch File,26.36,1,0.15,22.41,5.91
ORD-10252,2023-08-12,2023-08-16,Second Class,CUST-7859,Home Office,South,South Carolina,Technology,Electronics,USB-C Hub,874.09,1,0.2,699.27,126.16
ORD-10256,2024-11-23,2024-11-29,Standard Class,CUST-3414,Consumer,Central,Missouri,Office Supplies,Stationery,Paper Clips,6.1,1,0.25,4.57,1.32
ORD-10257,2022-02-08,2022-02-13,Standard Class,CUST-3254,Consumer,East,Massachusetts,Office Supplies,Paper,A4 Paper Ream,6.55,5,0.15,27.84,7.94
ORD-10259,2021-03-03,2021-03-08,Standard Class,CUST-5720,Corporate,East,Ohio,Office Supplies,Stationery,Binder,23.31,3,0.3,48.95,9.76
ORD-10261,2023-09-20,2023-09-27,Standard Class,CUST-6780,Consumer,West,California,Technology,Accessories,Cable Organizer,36.61,1,0.2,29.29,3.17
ORD-10264,2023-12-18,2023-12-25,Standard Class,CUST-7116,Home Office,West,Oregon,Office Supplies,Stationery,Stapler,3.75,4,0.0,15.0,4.16
ORD-10268,2024-02-24,2024-02-28,Second Class,CUST-8612,Corporate,South,Tennessee,Office Supplies,Paper,Cardstock,35.03,3,0.0,105.09,33.22
ORD-10271,2022-05-02,2022-05-08,Standard Class,CUST-4131,Consumer,South,Georgia,Technology,Phones,Smartphone Pro,1187.27,2,0.1,2137.09,255.52
ORD-10274,2022-12-24,2022-12-30,Standard Class,CUST-9507,Consumer,West,California,Office Supplies,Paper,Labels Sheet,58.55,2,0.25,87.82,17.17
ORD-10277,2023-05-11,2023-05-18,Standard Class,CUST-1693,Corporate,Central,Arkansas,Technology,Accessories,Power Bank,88.94,1,0.25,66.7,10.29
ORD-10279,2024-03-26,2024-03-31,Standard Class,CUST-2101,Corporate,South,Alabama,Technology,Electronics,Tablet,325.58,2,0.25,488.37,53.66
ORD-10280,2023-02-12,2023-02-15,Second Class,CUST-2858,Corporate,South,Tennessee,Furniture,Storage,Bookshelf,204.13,1,0.1,183.72,15.26
ORD-10281,2024-04-07,2024-04-13,Standard Class,CUST-8292,Consumer,South,South Carolina,Furniture,Storage,Bookshelf,102.06,1,0.0,102.06,12.02
ORD-10283,2021-10-28,2021-11-04,Standard Class,CUST-4292,Corporate,Central,Kansas,Office Supplies,Binders,Ring Binder,23.77,3,0.3,49.92,8.27
ORD-10288,2023-02-05,2023-02-08,First Class,CUST-7708,Consumer,East,Ohio,Technology,Accessories,Cable Organizer,53.8,3,0.25,121.05,21.62
ORD-10290,2023-10-21,2023-10-26,Standard Class,CUST-9488,Corporate,East,Virginia,Furniture,Desks,Foldable Desk,632.62,4,0.0,2530.48,442.1
ORD-10295,2021-03-28,2021-04-01,First Class,CUST-3762,Consumer,West,Oregon,Technology,Accessories,Power Bank,40.19,2,0.3,56.27,6.45
ORD-10300,2024-02-27,2024-03-02,First Class,CUST-7825,Consumer,Central,Missouri,Technology,Accessories,Cable Organizer,94.81,1,0.05,90.07,21.31
ORD-10302,2024-06-26,2024-07-02,Standard Class,CUST-8609,Corporate,South,South Carolina,Office Supplies,Binders,Document Wallet,6.26,1,0.25,4.7,0.96
ORD-10303,2024-08-05,2024-08-07,First Class,CUST-3308,Corporate,West,Oregon,Technology,Accessories,Screen Protector,45.1,2,0.1,81.18,14.8
ORD-10304,2024-03-19,2024-03-21,First Class,CUST-9148,Home Office,East,Maryland,Office Supplies,Paper,Cardstock,32.4,2,0.25,48.6,13.86
ORD-10307,2023-11-16,2023-11-23,Standard Class,CUST-5333,Corporate,East,Maryland,Furniture,Office Chairs,Executive Chair,502.94,2,0.0,1005.88,115.31
ORD-10311,2022-07-03,2022-07-10,Standard Class,CUST-2584,Corporate,South,Tennessee,Technology,Electronics,SSD Drive,561.12,6,0.0,3366.72,473.31
ORD-10313,2021-02-02,2021-02-08,Standard Class,CUST-9446,Consumer,West,Colorado,Furniture,Desks,Corner Desk,1003.97,2,0.0,2007.94,283.0
ORD-10314,2023-08-18,2023-08-24,Standard Class,CUST-6040,Corporate,West,Colorado,Technology,Accessories,Screen Protector,99.73,1,0.0,99.73,27.6
ORD-10316,2023-10-06,2023-10-12,Standard Class,CUST-2800,Consumer,South,Louisiana,Office Supplies,Binders,Clear Sleeve,8.58,2,0.0,17.16,4.54
ORD-10321,2024-10-28,2024-11-02,Second Class,CUST-8837,Consumer,East,Virginia,Furniture,Desks,Corner Desk,338.08,1,0.15,287.37,53.09
ORD-10324,2023-10-22,2023-10-27,Second Class,CUST-4684,Corporate,West,Oregon,Furniture,Storage,Drawer Unit,190.1,5,0.1,855.45,108.67
ORD-10327,2022-08-09,2022-08-16,Standard Class,CUST-3399,Consumer,South,North Carolina,Office Supplies,Paper,Labels Sheet,25.88,6,0.15,131.99,41.62
ORD-10329,2024-10-09,2024-10-14,Standard Class,CUST-9700,Corporate,East,Pennsylvania,Technology,Phones,Feature Phone,157.8,3,0.05,449.73,69.63
ORD-10332,2024-03-18,2024-03-23,Second Class,CUST-5706,Consumer,South,Texas,Technology,Phones,Bluetooth Earbuds,1123.99,4,0.25,3371.97,661.16
ORD-10336,2024-12-28,2025-01-02,Standard Class,CUST-7504,Corporate,East,New York,Office Supplies,Stationery,Paper Clips,18.46,3,0.0,55.38,19.35
ORD-10337,2023-09-10,2023-09-17,Standard Class,CUST-4159,Corporate,East,Connecticut,Office Supplies,Stationery,Sticky Notes,21.27,5,0.3,74.44,15.41
ORD-10341,2023-03-19,2023-03-26,Standard Class,CUST-2421,Consumer,West,Idaho,Furniture,Storage,Filing Cabinet,305.41,4,0.2,977.31,111.96
ORD-10343,2023-04-08,2023-04-14,Standard Class,CUST-6890,Home Office,South,Georgia,Office Supplies,Paper,Labels Sheet,21.61,3,0.0,64.83,13.12
ORD-10348,2022-02-25,2022-02-28,First Class,CUST-8454,Corporate,East,Pennsylvania,Furniture,Office Chairs,Stool,425.66,1,0.0,425.66,51.81
ORD-10353,2024-08-28,2024-09-02,Second Class,CUST-9972,Corporate,West,Idaho,Office Supplies,Binders,Lever Arch File,25.82,1,0.0,25.82,4.19
ORD-10358,2023-12-19,2023-12-23,Second Class,CUST-1945,Consumer,East,Michigan,Technology,Phones,Phone Case,976.17,2,0.3,1366.64,216.61
ORD-10359,2021-05-03,2021-05-06,Second Class,CUST-8734,Corporate,West,Arizona,Office Supplies,Paper,Labels Sheet,34.76,1,0.0,34.76,12.07
ORD-10360,2024-06-28,2024-06-30,First Class,CUST-6697,Consumer,East,New Jersey,Office Supplies,Binders,Presentation Folder,25.16,2,0.3,35.22,5.29
ORD-10362,2023-08-15,2023-08-20,Second Class,CUST-5516,Home Office,East,Michigan,Furniture,Office Chairs,Executive Chair,434.46,1,0.25,325.84,29.06
ORD-10366,2022-02-08,2022-02-10,First Class,CUST-1724,Corporate,Central,Minnesota,Technology,Accessories,Laptop Stand,59.11,2,0.0,118.22,18.82
ORD-10368,2022-09-19,2022-09-26,Standard Class,CUST-9540,Consumer,West,Nevada,Office Supplies,Stationery,Notebook,33.28,1,0.0,33.28,11.55
ORD-10372,2024-12-02,2024-12-09,Standard Class,CUST-5913,Corporate,West,Arizona,Technology,Accessories,Power Bank,51.93,2,0.2,83.09,13.86
ORD-10376,2023-12-02,2023-12-09,Standard Class,CUST-2295,Home Office,East,Michigan,Furniture,Office Chairs,Mesh Chair,547.49,1,0.1,492.74,37.68
ORD-10379,2024-03-02,2024-03-07,Second Class,CUST-6455,Consumer,Central,Minnesota,Furniture,Office Chairs,Ergonomic Chair,693.23,2,0.25,1039.85,74.0
ORD-10382,2023-03-23,2023-03-26,Second Class,CUST-6886,Corporate,Central,Illinois,Technology,Electronics,Tablet,1029.58,3,0.2,2470.99,432.77
ORD-10385,2022-06-07,2022-06-12,Second Class,CUST-7841,Corporate,East,Michigan,Office Supplies,Paper,A4 Paper Ream,52.52,3,0.0,157.56,31.85
ORD-10387,2022-11-11,2022-11-16,Second Class,CUST-6770,Consumer,East,Virginia,Technology,Accessories,Power Bank,80.59,2,0.0,161.18,38.24
ORD-10389,2023-10-27,2023-10-30,First Class,CUST-1149,Corporate,East,Michigan,Furniture,Storage,Bookshelf,82.62,2,0.0,165.24,25.79
ORD-10391,2023-06-01,2023-06-04,Second Class,CUST-8054,Home Office,West,Colorado,Technology,Accessories,Cable Organizer,68.24,1,0.1,61.42,7.16
ORD-10392,2024-02-09,2024-02-15,Standard Class,CUST-2320,Corporate,East,Pennsylvania,Furniture,Office Chairs,Executive Chair,494.25,1,0.05,469.54,43.49
ORD-10394,2024-09-16,2024-09-20,Second Class,CUST-1697,Corporate,East,Maryland,Furniture,Desks,Standing Desk,765.86,4,0.0,3063.44,564.34
ORD-10396,2024-05-06,2024-05-11,Standard Class,CUST-5903,Home Office,East,Ohio,Technology,Electronics,USB-C Hub,1089.7,3,0.2,2615.28,632.26
ORD-10399,2021-10-24,2021-10-28,Second Class,CUST-7499,Consumer,West,Utah,Office Supplies,Binders,Document Wallet,5.66,1,0.0,5.66,1.23
ORD-10402,2021-08-14,2021-08-20,Standard Class,CUST-2344,Consumer,East,Connecticut,Office Supplies,Paper,Envelope Pack,9.71,2,0.05,18.45,5.26
ORD-10403,2022-04-15,2022-04-20,Standard Class,CUST-7685,Consumer,East,New Jersey,Office Supplies,Paper,Labels Sheet,9.8,1,0.3,6.86,1.52
ORD-10407,2022-11-10,2022-11-14,First Class,CUST-3778,Corporate,East,Virginia,Furniture,Storage,Display Rack,319.35,4,0.05,1213.53,160.67
ORD-10411,2023-02-10,2023-02-16,Standard Class,CUST-4203,Consumer,East,Connecticut,Technology,Phones,Smartphone Lite,1134.74,3,0.25,2553.16,480.33
ORD-10415,2022-11-15,2022-11-22,Standard Class,CUST-4290,Home Office,East,Connecticut,Technology,Phones,Feature Phone,1169.84,1,0.15,994.36,199.15
ORD-10419,2022-11-13,2022-11-17,Second Class,CUST-1440,Home Office,West,Utah,Office Supplies,Paper,Envelope Pack,11.26,2,0.3,15.76,2.49
ORD-10423,2023-09-22,2023-09-25,Second Class,CUST-2211,Corporate,Central,Wisconsin,Furniture,Desks,Standing Desk,452.68,1,0.2,362.14,54.87
ORD-10426,2021-12-18,2021-12-22,First Class,CUST-5067,Home Office,Central,Iowa,Furniture,Storage,Display Rack,317.61,2,0.0,635.22,42.18
ORD-10430,2021-04-04,2021-04-11,Standard Class,CUST-7408,Home Office,East,New York,Furniture,Storage,Storage Box,271.52,2,0.05,515.89,58.78
ORD-10434,2024-10-04,2024-10-10,Standard Class,CUST-6706,Consumer,South,Georgia,Technology,Electronics,Headphones,616.45,2,0.05,1171.26,232.25
ORD-10438,2021-11-21,2021-11-28,Standard Class,CUST-7985,Corporate,East,Ohio,Technology,Phones,Smartphone Pro,315.38,1,0.0,315.38,54.55
ORD-10440,2023-06-15,2023-06-20,Second Class,CUST-9796,Consumer,East,Maryland,Furniture,Office Chairs,Stool,311.1,1,0.0,311.1,42.5
ORD-10445,2023-08-13,2023-08-17,Second Class,CUST-5873,Corporate,West,Nevada,Furniture,Desks,Foldable Desk,551.98,2,0.0,1103.96,189.95
ORD-10450,2022-09-17,2022-09-24,Standard Class,CUST-3838,Consumer,South,Georgia,Technology,Electronics,USB-C Hub,739.98,1,0.3,517.99,101.68
ORD-10454,2021-11-16,2021-11-20,First Class,CUST-8272,Corporate,East,Connecticut,Technology,Phones,Bluetooth Earbuds,621.36,2,0.25,932.04,152.1
ORD-10457,2024-08-06,2024-08-12,Standard Class,CUST-9898,Consumer,East,New York,Office Supplies,Stationery,Sticky Notes,23.34,1,0.0,23.34,4.75
ORD-10459,2023-04-27,2023-05-02,Standard Class,CUST-2923,Consumer,West,California,Office Supplies,Paper,Poster Paper,29.74,1,0.0,29.74,7.07
ORD-10462,2022-01-27,2022-02-02,Standard Class,CUST-5794,Consumer,East,Virginia,Office Supplies,Binders,Presentation Folder,20.5,2,0.0,41.0,8.8
ORD-10466,2024-04-23,2024-04-27,First Class,CUST-5402,Home Office,West,Washington,Technology,Phones,Smartphone Pro,406.85,1,0.2,325.48,58.09
ORD-10469,2024-05-15,2024-05-20,Standard Class,CUST-8511,Consumer,West,Washington,Furniture,Office Chairs,Stool,801.68,3,0.0,2405.04,383.94
ORD-10470,2023-02-11,2023-02-17,Standard Class,CUST-8529,Consumer,Central,Arkansas,Technology,Phones,Smartphone Lite,952.32,4,0.0,3809.28,485.12
ORD-10471,2022-11-21,2022-11-25,Second Class,CUST-3711,Consumer,East,New Jersey,Furniture,Office Chairs,Stool,220.0,1,0.0,220.0,23.27
ORD-10475,2023-02-07,2023-02-10,Second Class,CUST-2975,Corporate,West,Arizona,Office Supplies,Stationery,Highlighter Pack,22.22,1,0.0,22.22,6.42
ORD-10480,2024-02-12,2024-02-17,Standard Class,CUST-1138,Corporate,South,South Carolina,Technology,Phones,Smartphone Pro,780.64,2,0.0,1561.28,319.88
ORD-10483,2022-12-28,2022-12-31,Second Class,CUST-8035,Home Office,South,South Carolina,Furniture,Office Chairs,Executive Chair,714.33,2,0.2,1142.93,105.67
ORD-10486,2024-10-10,2024-10-15,Second Class,CUST-7418,Corporate,South,North Carolina,Technology,Electronics,Wireless Mouse,1586.42,1,0.3,1110.49,141.76
ORD-10490,2024-12-01,2024-12-06,Standard Class,CUST-3830,Consumer,South,North Carolina,Furniture,Office Chairs,Executive Chair,440.13,3,0.2,1056.31,99.64
ORD-10495,2022-04-26,2022-05-03,Standard Class,CUST-9791,Consumer,Central,Minnesota,Technology,Electronics,Laptop,941.8,1,0.2,753.44,90.31
ORD-10496,2022-08-18,2022-08-20,Same Day,CUST-4909,Home Office,South,Louisiana,Technology,Electronics,Smart Speaker,1251.42,1,0.2,1001.14,213.36
ORD-10498,2021-01-24,2021-01-27,Second Class,CUST-5247,Consumer,East,Maryland,Technology,Accessories,Cable Organizer,87.16,1,0.15,74.09,13.96
ORD-10503,2023-04-09,2023-04-16,Standard Class,CUST-9185,Home Office,West,Arizona,Office Supplies,Stationery,Binder,26.22,2,0.3,36.71,6.93
ORD-10504,2021-11-17,2021-11-22,Standard Class,CUST-3932,Corporate,East,New Jersey,Technology,Electronics,SSD Drive,500.63,2,0.2,801.01,192.65
